ID,Display Text,Title,Description,Icon,X,Y,Background,Frame,Is Hidden,Should Announce,Should Show Toast,Parent,Children,Reward Experience,Reward Loot,Reward Recipes,Reward Function
bonsaitrees:grow,§a[§r§aGrow a Bonsai Tree§r§a]§r,Grow a Bonsai Tree§r,Use it for decoration or as early tree farm§r,minecraft:sapling,1.0,0.0,,TASK,-,+,+,bonsaitrees:root,,0,,,null
bonsaitrees:root,§a[§r§aBonsai Trees§r§a]§r,Bonsai Trees§r,Craft a Bonsai Pot§r,bonsaitrees:bonsaipot,0.0,0.0,assets/minecraft/textures/gui/advancements/backgrounds/husbandry.png,TASK,-,-,-,,bonsaitrees:grow,0,,,null
colossalchests:base/copper,§a[§r§aCopper Colossal Chest§r§a]§r,Copper Colossal Chest§r,Form a copper Colossal Chest§r,colossalchests:chest_wall:1,1.0,0.0,,TASK,-,+,+,colossalchests:root,colossalchests:size/copper,0,,,null
colossalchests:base/diamond,§a[§r§aDiamond Colossal Chest§r§a]§r,Diamond Colossal Chest§r,Form a diamond Colossal Chest§r,colossalchests:chest_wall:5,1.0,1.0,,TASK,-,+,+,colossalchests:root,colossalchests:size/diamond,0,,,null
colossalchests:base/gold,§a[§r§aGold Colossal Chest§r§a]§r,Gold Colossal Chest§r,Form a golden Colossal Chest§r,colossalchests:chest_wall:4,1.0,4.0,,TASK,-,+,+,colossalchests:root,colossalchests:size/gold,0,,,null
colossalchests:base/iron,§a[§r§aIron Colossal Chest§r§a]§r,Iron Colossal Chest§r,Form an iron Colossal Chest§r,colossalchests:chest_wall:2,1.0,5.0,,TASK,-,+,+,colossalchests:root,colossalchests:size/iron,0,,,null
colossalchests:base/obsidian,§a[§r§aObsidian Colossal Chest§r§a]§r,Obsidian Colossal Chest§r,Form an obsidian Colossal Chest§r,colossalchests:chest_wall:6,1.0,3.0,,TASK,-,+,+,colossalchests:root,colossalchests:size/obsidian,0,,,null
colossalchests:base/silver,§a[§r§aSilver Colossal Chest§r§a]§r,Silver Colossal Chest§r,Form a silver Colossal Chest§r,colossalchests:chest_wall:3,1.0,7.0,,TASK,-,+,+,colossalchests:root,colossalchests:size/silver,0,,,null
colossalchests:base/wood,§a[§r§aWooden Colossal Chest§r§a]§r,Wooden Colossal Chest§r,Form a wooden Colossal Chest§r,colossalchests:chest_wall,1.0,6.0,,TASK,-,+,+,colossalchests:root,colossalchests:size/wood,0,,,null
colossalchests:root,§a[§r§aColossal Chests§r§a]§r,Colossal Chests§r,For when regular chests are too small.§r,colossalchests:colossal_chest,0.0,3.5,assets/minecraft/textures/gui/advancements/backgrounds/adventure.png,TASK,-,-,-,,"colossalchests:base/copper
colossalchests:base/diamond
colossalchests:uncolossal
colossalchests:base/obsidian
colossalchests:base/gold
colossalchests:base/iron
colossalchests:base/wood
colossalchests:base/silver",0,,"colossalchests:uncolossal_chest
colossalchests:colossal_chest
colossalchests:chest_wall
colossalchests:interface
colossalchests:colossal_chest_12
colossalchests:chest_wall_12
colossalchests:interface_12
colossalchests:colossal_chest_14
colossalchests:chest_wall_14
colossalchests:interface_14
colossalchests:colossal_chest_15
colossalchests:chest_wall_15
colossalchests:interface_15
colossalchests:colossal_chest_16
colossalchests:chest_wall_16
colossalchests:interface_16",null
colossalchests:size/copper,§5[§r§5Epic Copper Colossal Chest§r§5]§r,Epic Copper Colossal Chest§r,Form a copper Colossal Chest of at least 10x10x10§r,colossalchests:colossal_chest:1,2.0,0.0,,CHALLENGE,-,+,+,colossalchests:base/copper,,0,,,null
colossalchests:size/diamond,§5[§r§5Epic Diamond Colossal Chest§r§5]§r,Epic Diamond Colossal Chest§r,Form a diamond Colossal Chest of at least 10x10x10§r,colossalchests:colossal_chest:5,2.0,1.0,,CHALLENGE,-,+,+,colossalchests:base/diamond,,0,,,null
colossalchests:size/gold,§5[§r§5Epic Gold Colossal Chest§r§5]§r,Epic Gold Colossal Chest§r,Form a golden Colossal Chest of at least 10x10x10§r,colossalchests:colossal_chest:4,2.0,4.0,,CHALLENGE,-,+,+,colossalchests:base/gold,,0,,,null
colossalchests:size/iron,§5[§r§5Epic Iron Colossal Chest§r§5]§r,Epic Iron Colossal Chest§r,Form an iron Colossal Chest of at least 10x10x10§r,colossalchests:colossal_chest:2,2.0,5.0,,CHALLENGE,-,+,+,colossalchests:base/iron,,0,,,null
