ID,Class Name,BlockState Properties,BlockState Class Name
avaritia:block_resource,morph.avaritia.block.BlockResource,"[PropertyEnum{name=type, clazz=class morph.avaritia.block.BlockResource$Type, values=[NEUTRONIUM, INFINITY, CRYSTAL_MATRIX]}]",net.minecraft.block.state.BlockStateContainer
avaritia:compressed_crafting_table,morph.avaritia.block.BlockCompressedCraftingTable,[],net.minecraft.block.state.BlockStateContainer
avaritia:double_compressed_crafting_table,morph.avaritia.block.BlockDoubleCompressedCraftingTable,[],net.minecraft.block.state.BlockStateContainer
avaritia:extreme_crafting_table,morph.avaritia.block.BlockExtremeCraftingTable,[],net.minecraft.block.state.BlockStateContainer
avaritia:neutron_collector,morph.avaritia.block.BlockNeutronCollector,"[PropertyBool{name=active, clazz=class java.lang.Boolean, values=[true, false]}, PropertyEnum{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
avaritia:neutronium_compressor,morph.avaritia.block.BlockNeutroniumCompressor,"[PropertyBool{name=active, clazz=class java.lang.Boolean, values=[true, false]}, PropertyEnum{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
bdsandm:metal_barrel,funwayguy.bdsandm.blocks.BlockMetalBarrel,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
bdsandm:metal_crate,funwayguy.bdsandm.blocks.BlockMetalCrate,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
bdsandm:shipping_container,funwayguy.bdsandm.blocks.BlockShippingContainer,"[PropertyInteger{name=index, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7]}, PropertyBool{name=turned, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
bdsandm:wood_barrel,funwayguy.bdsandm.blocks.BlockWoodBarrel,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
bdsandm:wood_crate,funwayguy.bdsandm.blocks.BlockWoodCrate,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
bedrockores:bedrock_miner,li.cil.bedrockores.common.block.BlockBedrockMiner,[],net.minecraft.block.state.BlockStateContainer
bedrockores:bedrock_ore,li.cil.bedrockores.common.block.BlockBedrockOre,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:armorstand,jds.bibliocraft.blocks.BlockArmorStand,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:bell,jds.bibliocraft.blocks.BlockBell,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:bookcase,jds.bibliocraft.blocks.BlockBookcase,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:bookcasecreative,jds.bibliocraft.blocks.BlockBookcaseCreative,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:case,jds.bibliocraft.blocks.BlockCase,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:clipboard,jds.bibliocraft.blocks.BlockClipboard,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:clock,jds.bibliocraft.blocks.BlockClock,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:cookiejar,jds.bibliocraft.blocks.BlockCookieJar,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:desk,jds.bibliocraft.blocks.BlockDesk,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:dinnerplate,jds.bibliocraft.blocks.BlockDinnerPlate,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:discrack,jds.bibliocraft.blocks.BlockDiscRack,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:fancysign,jds.bibliocraft.blocks.BlockFancySign,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:fancyworkbench,jds.bibliocraft.blocks.BlockFancyWorkbench,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:framedchest,jds.bibliocraft.blocks.BlockFramedChest,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:furniturepaneler,jds.bibliocraft.blocks.BlockFurniturePaneler,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:label,jds.bibliocraft.blocks.BlockLabel,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:lampgold,jds.bibliocraft.blocks.BlockLampGold,"[PropertyEnum{name=color, clazz=class jds.bibliocraft.helpers.EnumColor, values=[WHITE, LIGHT_GRAY, GRAY, BLACK, RED, ORANGE, YELLOW, LIME, GREEN, CYAN, LIGHT_BLUE, BLUE, PURPLE, MAGENTA, PINK, BROWN]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:lampiron,jds.bibliocraft.blocks.BlockLampIron,"[PropertyEnum{name=color, clazz=class jds.bibliocraft.helpers.EnumColor, values=[WHITE, LIGHT_GRAY, GRAY, BLACK, RED, ORANGE, YELLOW, LIME, GREEN, CYAN, LIGHT_BLUE, BLUE, PURPLE, MAGENTA, PINK, BROWN]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:lanterngold,jds.bibliocraft.blocks.BlockLanternGold,"[PropertyEnum{name=color, clazz=class jds.bibliocraft.helpers.EnumColor, values=[WHITE, LIGHT_GRAY, GRAY, BLACK, RED, ORANGE, YELLOW, LIME, GREEN, CYAN, LIGHT_BLUE, BLUE, PURPLE, MAGENTA, PINK, BROWN]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:lanterniron,jds.bibliocraft.blocks.BlockLanternIron,"[PropertyEnum{name=color, clazz=class jds.bibliocraft.helpers.EnumColor, values=[WHITE, LIGHT_GRAY, GRAY, BLACK, RED, ORANGE, YELLOW, LIME, GREEN, CYAN, LIGHT_BLUE, BLUE, PURPLE, MAGENTA, PINK, BROWN]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:mapframe,jds.bibliocraft.blocks.BlockMapFrame,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:markerpole,jds.bibliocraft.blocks.BlockMarkerPole,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:paintingframeborderless,jds.bibliocraft.blocks.BlockPaintingFrameBorderless,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:paintingframefancy,jds.bibliocraft.blocks.BlockPaintingFrameFancy,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:paintingframeflat,jds.bibliocraft.blocks.BlockPaintingFrameFlat,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:paintingframemiddle,jds.bibliocraft.blocks.BlockPaintingFrameMiddle,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:paintingframesimple,jds.bibliocraft.blocks.BlockPaintingFrameSimple,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:paintingpress,jds.bibliocraft.blocks.BlockPaintingPress,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:potionshelf,jds.bibliocraft.blocks.BlockPotionShelf,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:printingpress,jds.bibliocraft.blocks.BlockPrintingPress,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:seat,jds.bibliocraft.blocks.BlockSeat,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:shelf,jds.bibliocraft.blocks.BlockShelf,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:swordpedestal,jds.bibliocraft.blocks.BlockSwordPedestal,"[PropertyEnum{name=color, clazz=class jds.bibliocraft.helpers.EnumColor, values=[WHITE, LIGHT_GRAY, GRAY, BLACK, RED, ORANGE, YELLOW, LIME, GREEN, CYAN, LIGHT_BLUE, BLUE, PURPLE, MAGENTA, PINK, BROWN]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:table,jds.bibliocraft.blocks.BlockTable,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:toolrack,jds.bibliocraft.blocks.BlockToolRack,"[PropertyEnum{name=woodtype, clazz=class jds.bibliocraft.blocks.BiblioWoodBlock$EnumWoodType, values=[oak, spruce, birch, jungle, acacia, darkoak, framed]}]",net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:typesettingtable,jds.bibliocraft.blocks.BlockTypesettingTable,[],net.minecraftforge.common.property.ExtendedBlockState
bibliocraft:typewriter,jds.bibliocraft.blocks.BlockTypeWriter,"[PropertyEnum{name=color, clazz=class jds.bibliocraft.helpers.EnumColor, values=[WHITE, LIGHT_GRAY, GRAY, BLACK, RED, ORANGE, YELLOW, LIME, GREEN, CYAN, LIGHT_BLUE, BLUE, PURPLE, MAGENTA, PINK, BROWN]}]",net.minecraftforge.common.property.ExtendedBlockState
