ID,Unlocalized Name,Display Name,Still Texture,Flowing Texture,Overlay Texture,Fill Sound,Empty Sound,Luminosity,Density,Temperature,Viscosity,Is Gaseous,Rarity,Block,Color,Is Lighter than Air,Can be Placed in World
bigreactors:cyanite,fluid.cyanite,Fluid Cyanite,assets/bigreactors/textures/blocks/cyanitestill.png,assets/bigreactors/textures/blocks/cyaniteflowing.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,6,100,295,100,-,UNCOMMON,bigreactors:cyanite,#FFFFFFFF,-,+
bigreactors:fuelcolumn,fluid.fuelcolumn,fluid.fuelcolumn,assets/bigreactors/textures/blocks/fuelcolumnstill.png,assets/bigreactors/textures/blocks/fuelcolumnflowing.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFFFFFFF,-,-
bigreactors:yellorium,fluid.yellorium,Fluid Yellorium,assets/bigreactors/textures/blocks/yelloriumstill.png,assets/bigreactors/textures/blocks/yelloriumflowing.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,10,100,295,100,-,UNCOMMON,bigreactors:yellorium,#FFFFFFFF,-,+
enderio:cloud_seed,fluid.cloud_seed,Cloud Seed,assets/enderio/textures/blocks/fluid_cloud_seed_still.png,assets/enderio/textures/blocks/fluid_cloud_seed_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,500,300,800,-,COMMON,enderio:block_fluid_cloud_seed,#FFFFFFFF,-,+
enderio:cloud_seed_concentrated,fluid.cloud_seed_concentrated,Concentrated Cloud Seed,assets/enderio/textures/blocks/fluid_cloud_seed_concentrated_still.png,assets/enderio/textures/blocks/fluid_cloud_seed_concentrated_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1200,-,COMMON,enderio:block_fluid_cloud_seed_concentrated,#FFFFFFFF,-,+
enderio:ender_distillation,fluid.ender_distillation,Dew of the Void,assets/enderio/textures/blocks/fluid_ender_distillation_still.png,assets/enderio/textures/blocks/fluid_ender_distillation_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,200,175,1000,-,COMMON,enderio:block_fluid_ender_distillation,#FFFFFFFF,-,+
enderio:fire_water,fluid.fire_water,Fire Water,assets/enderio/textures/blocks/fluid_fire_water_still.png,assets/enderio/textures/blocks/fluid_fire_water_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,900,2000,1000,-,COMMON,enderio:block_fluid_fire_water,#FFFFFFFF,-,+
enderio:hootch,fluid.hootch,Hootch,assets/enderio/textures/blocks/fluid_hootch_still.png,assets/enderio/textures/blocks/fluid_hootch_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,900,300,1000,-,COMMON,enderio:block_fluid_hootch,#FFFFFFFF,-,+
enderio:liquid_sunshine,fluid.liquid_sunshine,Liquid Sunshine,assets/enderio/textures/blocks/fluid_liquid_sunshine_still.png,assets/enderio/textures/blocks/fluid_liquid_sunshine_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,200,300,400,-,COMMON,enderio:block_fluid_liquid_sunshine,#FFFFFFFF,-,+
enderio:nutrient_distillation,fluid.nutrient_distillation,Nutrient Distillation,assets/enderio/textures/blocks/fluid_nutrient_distillation_still.png,assets/enderio/textures/blocks/fluid_nutrient_distillation_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1500,300,3000,-,COMMON,enderio:block_fluid_nutrient_distillation,#FFFFFFFF,-,+
enderio:rocket_fuel,fluid.rocket_fuel,Rocket Fuel,assets/enderio/textures/blocks/fluid_rocket_fuel_still.png,assets/enderio/textures/blocks/fluid_rocket_fuel_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,900,300,1000,-,COMMON,enderio:block_fluid_rocket_fuel,#FFFFFFFF,-,+
enderio:vapor_of_levity,fluid.vapor_of_levity,Vapor of Levity,assets/enderio/textures/blocks/fluid_vapor_of_levity_still.png,assets/enderio/textures/blocks/fluid_vapor_of_levity_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,-10,5,100,+,COMMON,enderio:block_fluid_vapor_of_levity,#FFFFFFFF,+,+
enderiointegrationtic:conductive_iron,fluid.conductive_iron,Molten Conductive Iron,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1400,3000,-,COMMON,enderio:block_fluid_conductive_iron,#FFAB5D5F,-,+
enderiointegrationtic:construction_alloy,fluid.construction_alloy,Molten Iron Alloy,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,563,3000,-,COMMON,enderio:block_fluid_construction_alloy,#FF29182A,-,+
enderiointegrationtic:crude_steel,fluid.crude_steel,Molten Crude Steel,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,413,3000,-,COMMON,enderio:block_fluid_crude_steel,#FFC3B7B1,-,+
enderiointegrationtic:crystalline_alloy,fluid.crystalline_alloy,Molten Crystalline Alloy,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1425,3000,-,COMMON,enderio:block_fluid_crystalline_alloy,#FF86D9D9,-,+
enderiointegrationtic:crystalline_pink_slime,fluid.crystalline_pink_slime,Molten Crystalline Pink Slime,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1447,3000,-,COMMON,enderio:block_fluid_crystalline_pink_slime,#FF35A8DB,-,+
enderiointegrationtic:dark_steel,fluid.dark_steel,Molten Dark Steel,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1813,3000,-,COMMON,enderio:block_fluid_dark_steel,#FF6C6C6C,-,+
enderiointegrationtic:electrical_steel,fluid.electrical_steel,Molten Electrical Steel,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1475,3000,-,COMMON,enderio:block_fluid_electrical_steel,#FFA9A9A9,-,+
enderiointegrationtic:end_steel,fluid.end_steel,Molten End Steel,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1213,3000,-,COMMON,enderio:block_fluid_end_steel,#FFFBFCB3,-,+
enderiointegrationtic:energetic_alloy,fluid.energetic_alloy,Molten Energetic Alloy,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1128,3000,-,COMMON,enderio:block_fluid_energetic_alloy,#FFD9934C,-,+
enderiointegrationtic:energetic_silver,fluid.energetic_silver,Molten Energetic Silver,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1128,3000,-,COMMON,enderio:block_fluid_energetic_silver,#FF79A5C5,-,+
enderiointegrationtic:melodic_alloy,fluid.melodic_alloy,Molten Melodic Alloy,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1213,3000,-,COMMON,enderio:block_fluid_melodic_alloy,#FF845E84,-,+
enderiointegrationtic:pulsating_iron,fluid.pulsating_iron,Molten Pulsating Iron,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1405,3000,-,COMMON,enderio:block_fluid_pulsating_iron,#FF2C9044,-,+
enderiointegrationtic:redstone_alloy,fluid.redstone_alloy,Molten Redstone Alloy,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1357,3000,-,COMMON,enderio:block_fluid_redstone_alloy,#FFB12727,-,+
enderiointegrationtic:soularium,fluid.soularium,Molten Soularium,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,636,3000,-,COMMON,enderio:block_fluid_soularium,#FF695B4D,-,+
enderiointegrationtic:stellar_alloy,fluid.stellar_alloy,Molten Stellar Alloy,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,1475,3000,-,COMMON,enderio:block_fluid_stellar_alloy,#FFE7EAEA,-,+
