ID,Group,Input Pattern,Input Ingredients,Output Item,Width,Height
avaritia:blocks/resource/neutronium_block,,"AAA
AAA
AAA",A: avaritia:resource:4,avaritia:block_resource,3,3
avaritia:blocks/resource/infinity_block,,"AAA
AAA
AAA",A: avaritia:resource:6,avaritia:block_resource:1,3,3
avaritia:blocks/resource/crystal_matrix_block,,"AAA
AAA
AAA",A: avaritia:resource:1,avaritia:block_resource:2,3,3
avaritia:blocks/crafting/compressed_crafting_table,,"AAA
AAA
AAA",A: minecraft:crafting_table,avaritia:compressed_crafting_table,3,3
avaritia:blocks/crafting/double_compressed_crafting_table,,"AAA
AAA
AAA",A: avaritia:compressed_crafting_table,avaritia:double_compressed_crafting_table,3,3
avaritia:blocks/crafting/extreme_crafting_table,,"AAA
ABA
AAA","A: avaritia:resource:1
B: avaritia:double_compressed_crafting_table",avaritia:extreme_crafting_table,3,3
avaritia:items/resource/diamond_lattice,,"A-A
-A-
A-A",A: ore:gemDiamond,avaritia:resource,3,3
avaritia:items/resource/crystal_matrix_ingot,,"ABA
ABA","A: avaritia:resource
B: ore:netherStar",avaritia:resource:1,3,2
avaritia:items/resource/neutron_nugget,,"AAA
AAA
AAA",A: avaritia:resource:2,avaritia:resource:3,3,3
avaritia:items/resource/neutronium_ingot,,"AAA
AAA
AAA",A: avaritia:resource:3,avaritia:resource:4,3,3
bdsandm:color_tool_c,bdsandm:bdsm,"AAA
ABA
AAA","A: ore:dye
B: bdsandm:wood_crate:* {crateCap:{maxCap:1024,objColors:[I;-1,-1],oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",bdsandm:color_tool,3,3
bdsandm:color_tool_b,bdsandm:bdsm,"AAA
ABA
AAA","A: ore:dye
B: bdsandm:wood_barrel:* {barrelCap:{maxCap:1024,objColors:[I;-1,-1,-1,-1],refFluid:{},oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",bdsandm:color_tool,3,3
