ID,Group,Input Ingredients,Output Item
minecraft:armordye,,,
minecraft:bookcloning,,,
minecraft:mapcloning,,,
minecraft:fireworks,,,
minecraft:repairitem,,,
minecraft:tippedarrow,,,
minecraft:bannerduplicate,,,
minecraft:banneraddpattern,,,
minecraft:shielddecoration,,,
minecraft:shulkerboxcoloring,,,
ironchest:shulker/shulker_box_coloring,,,
akashictome:attachment,,,
quark:map_pinning,,,
quark:slabs_to_stairs,,,
quark:stairs_to_blocks,,,
enderio:dark_shield_recipes,,,
enderio:copy-filter,,,
enderio:clear-config,,,
tconstruct:repair,,,
conarm:repair,,,
mekanism:bin,,,
openblocks:crayon_merge,openblocks:crayons,,
openblocks:crayon_mix,openblocks:crayons,,
openblocks:map_clone,openblocks:maps,,
openblocks:epic_eraser_action,openblocks:eraser,,
realfilingcabinet:storagefolder,,,
realfilingcabinet:folderextract,,,
realfilingcabinet:foldertape,,,
realfilingcabinet:foldermerge,,,
chiselsandbits:bitbagdyeing,,,
chiselsandbits:positiveprintcrafting,,,
chiselsandbits:chiselcrafting,,,
chiselsandbits:stackablecrafting,,,
chiselsandbits:negativepatterncrafting,,,
chiselsandbits:mirrorpatterncrafting,,,
chiselsandbits:bitsawcrafting,,,
refinedstorage:cover,,,
refinedstorage:hollow_cover,,,
projectred-transportation:chip_reset,,,
quark:slabs_to_blocks,,,
opencomputers:colorizeboots,,,
opencomputers:decolorizeboots,,,
opencomputers:colorizecable,,,
opencomputers:decolorizecable,,,
opencomputers:lootcycling,,,
railcraft:prototype,,,
akashictome:tome,akashictome:tome,"minecraft:book
minecraft:bookshelf",akashictome:tome
akashictome:tome_1,akashictome:tome,"minecraft:book
ore:bookshelf",akashictome:tome
avaritia:blocks/crafting/un_double_compressed_crafting_table,,avaritia:double_compressed_crafting_table,avaritia:compressed_crafting_table x9
nuclearcraft:item.avaritia:infinity_boots,nuclearcraft:item.avaritia:infinity_boots,"avaritia:infinity_boots
nuclearcraft:rad_shielding",avaritia:infinity_boots {ncRadiationResistance:0.01d}
nuclearcraft:item.avaritia:infinity_boots_1,nuclearcraft:item.avaritia:infinity_boots_1,"avaritia:infinity_boots
nuclearcraft:rad_shielding:1",avaritia:infinity_boots {ncRadiationResistance:0.1d}
nuclearcraft:item.avaritia:infinity_boots_2,nuclearcraft:item.avaritia:infinity_boots_2,"avaritia:infinity_boots
nuclearcraft:rad_shielding:2",avaritia:infinity_boots {ncRadiationResistance:1.0d}
nuclearcraft:item.avaritia:infinity_chestplate,nuclearcraft:item.avaritia:infinity_chestplate,"avaritia:infinity_chestplate
nuclearcraft:rad_shielding",avaritia:infinity_chestplate {ncRadiationResistance:0.01d}
nuclearcraft:item.avaritia:infinity_chestplate_1,nuclearcraft:item.avaritia:infinity_chestplate_1,"avaritia:infinity_chestplate
nuclearcraft:rad_shielding:1",avaritia:infinity_chestplate {ncRadiationResistance:0.1d}
